clean_message,sentiment
lol,positive
lul lul lul lul lul lul,neutral
two poggers,positive
lul,positive
college early 20s,negative
monkaw not me,positive
poor guy having to explain it lulw,positive
bwade95200 well it happen sometimes,neutral
kekw,positive
sadge,negative
hes sasuke,negative
catch the moment of sleep,neutral
sadge,negative
pepelaugh looking at chat,positive
feelstrongman,positive
woah,positive
adidas ez,positive
loooool,negative
s,neutral
he started stream saying its dominic but call me dom,negative
hamood,neutral
forget all my problems im a mc in dnd,negative
kekw,positive
lulw,positive
clownface society,negative
pain,negative
true,negative
moist,positive
justin weeber chad,negative
right,negative
nba prodigy lul,positive
ive done that,negative
12 pounds,positive
its 10 30,negative
lulw,negative
train,neutral
feelsstrongman,positive
he said what,neutral
i came for mental health advice now i have a booner thanks dr k,positive
residentsleeper,negative
idk but i feel similar,positive
im all seriousness im going to work out and find hiking shoes to go on a hike this weekend,neutral
pogchamp,positive
pog,positive
computer use huh,negative
feelsstrongman,negative
3 3,neutral
smash it,negative
southpark already did it,positive
for chat 3,neutral
oh,neutral
i eat healthy  i drink milk,negative
sadge,negative
garona pog,positive
thanks,negative
pog,positive
how old is he chat,negative
his dad is white  wow what a story,neutral
who,positive
lulw,negative
sadge i lost weight,negative
3,positive
,positive
man we put a lot of pressure on ourselves these days,neutral
he sounds mormon,positive
deep,positive
kekw,negative
,positive
you got this dom,positive
ayaya,positive
sadge im normal,negative
good guy dad feelsstrongman,neutral
feelsstrongman,neutral
create a cult yep,positive
why do feel sad pepehands,positive
postnut is real though lul,neutral
frowningfacewithopenmouth  frowningfacewithopenmouth  frowningfacewithopenmouth,positive
its a trigger,positive
so in order to reach what we think of an end goalcareer we need to stop focusing on that and focus on the present and well naturally get there,neutral
nani,neutral
true,neutral
monkaw,positive
yep,positive
thanks for joining the steam awesome stream today,positive
sadge,negative
virtualhug virtualhug virtualhug virtualhug virtualhug virtualhug virtualhug virtualhug,positive
its just shame,neutral
poggers,positive
russel,positive
aooooe,negative
sadge,negative
thats my thinking 5head,negative
all of them,positive
true kekw,positive
g omegalul als,neutral
lulw,negative
ayyy lul lul my man,neutral
lul,negative
poggers,positive
monkaw,negative
zen,negative
3,negative
shame,negative
pogchamp,positive
aooooe,neutral
sadge,negative
wrong person,neutral
ameen,positive
every one,neutral
xqcslam,positive
based,negative
can we get darude sandstorm oof edition going on as the sub sound,negative
theres the chad,negative
wow mom monkaw,positive
sadge,negative
feelsstrongman,negative
codemiko,positive
pepog,positive
just 4,negative
oh oh,positive
monkahmm,neutral
ive seen that a lot through my familycousins,negative
nah there was a recent one like last week,positive
monkaw,negative
feelsstrongman goddamn,neutral
4,neutral
3,negative
wait til next weekend pepog,positive
college shit,neutral
sogtetra sogtetra sogtetra,positive
pretty fucking serious,negative
yep,positive
you forgot being an engineer lulw,neutral
the most chad thing you can do is doing what you like without regrets and not giving a damn what other people think,positive
as long as you dont feel like you have to do things all by yourself asking for help is honorable,neutral
what about a terrible marriage where the parents fight none stop,positive
3 3 3,positive
thats bad for your health,negative
3,neutral
pog gigachad,positive
boomer,neutral
sigma male ez,negative
o,negative
this guy is great at expressing himself,positive
i feel so similarly with a nerdy dad who plays games every day much more than i do love him but also it feels like too much at times,neutral
yea theres a lot of pain here,negative
biblethump,negative
no friends on discord sadge,negative
5k pog,positive
monkaw,positive
wow,negative
bro 4 ez,negative
pogchamp,positive
this guy is literally me,positive
jebaited,positive
is the name dom like dominic or don like the last president,neutral
pogchamp pogchamp,positive
it does,negative
kekw,neutral
hey man it could be worse there is kids without parents spending christmas on an orphanage be blessed with where you are,positive
i have friends that are like solidified family even after the divorce like we go on trips and i call them uncle and aunt and cousin,positive
5head,neutral
thats heavy doc,positive
3,negative
monkas,negative
damn this is so high quality,negative
thats exactly it doing all the dishes and cleaning kitchen,positive
3,positive
sadge,negative
gg,positive
jebaited,positive
but,negative
3,neutral
jebaited,positive
malone brown,neutral
kekw,positive
don,negative
i hate my life there is no purpose left,negative
ayaya,neutral
what are doms socials,negative
ez clap thats our gigachad,negative
sparca sparca sparca sparca sparca,neutral
kekw kekw,neutral
this is like when you whisper a joke and the teacher makes you explain to the class kekw,neutral
for us pog,positive
saved pog,positive
saved,neutral
oooo you got me freaking in the friday night,positive
stop talking about the fookin divy,neutral
soy milk kappa,negative
3,neutral
wtf who says that it doesnt,positive
6head,neutral
but thats what makes you special and different 3,negative
,negative
i dont like milk lulw,negative
ez clap,positive
yis,neutral
pog,positive
lul,neutral
hes redefining the word chad,positive
pepog be a degen,positive
feelsstrongman,neutral
sadge,negative
what is this exercisemeditation called,positive
me2 man sadge,negative
dragon,neutral
deskchan,neutral
yaaaa shikamarruu,positive
poggers,positive
pepog,positive
5head shikimaru,negative
3 3 3 3 virtualhug 3 virtualhug 3 virtualhug,neutral
4,positive
kekw,neutral
pog do it,positive
wtf,negative
especially writers,neutral
gg,positive
if you are enjoying the stream and want to support us consider subbing or donating link below to the channel and spreading the word,neutral
,positive
lets goooooooo im hyped,positive
sounds like he just wants to fit in sadge,negative
monkahmm,neutral
lmaoo,neutral
nodders woooo,positive
,neutral
good guy dad feelsstrongman good guy dad feelsstrongman good guy dad feelsstrongman,neutral
bitly3r7czff,positive
true,negative
lulw,negative
dom like document object model,neutral
3 3 3 3 3 3 3 3 3 3 3,neutral
candy pog,positive
exactly holidays are shit thank you for confirming that doc,positive
sadge ness,negative
lulw he aint wrong,neutral
malk is not healthy,positive
pog,positive
ez chad,neutral
cult leader yep,positive
sadge,negative
sadge,negative
omegalul,negative
guide,positive
pepelaugh,positive
ninja,positive
sus,positive
slap funky bass is divine gasmm,negative
ez gg,positive
jigsaw family feelsstrongman,neutral
sadge,negative
loveyougesture,positive
anime twist,negative
so hard,negative
ez,positive
lulw,neutral
joe,negative
omegalul,neutral
ez chad,negative
part 2 pog,positive
feelsstrongman,positive
well said,neutral
gg,positive
jebaited,positive
yep,positive
giga chad cult,positive
there is no time when you look into urself,positive
nopers be you,positive
1 day at a time brother,negative
monkaw,negative
side quests,neutral
kekw,positive
word,negative
ayaya,positive
nard kappa,neutral
lulw,negative
feelsstrongman,negative
i mean doc is right,neutral
sadge,negative
viewer interviews are so good,neutral
hahahhaa,positive
jebaited,neutral
i see how it is matty your just never going to stream then,negative
lirik pog,positive
liddylune just raided the channel with 117 viewers pogchamp,positive
that was so touching hasl hasl,negative
3,positive
just dont marry 5head,neutral
gigachad,neutral
i cant do that though sadge,negative
omegalul,positive
quinarrive quinarrive,neutral
pog,positive
sheesh that question hit the spot,positive
two wolves,neutral
doctor kekw,negative
,neutral
3 3 3,neutral
ez,positive
3,positive
yes,negative
just nut more 5head,negative
3 3 3,positive
brave for sharing,negative
life coaches jebaited,neutral
huge pog for dom,positive
3 3 3,positive
being human sadge,negative
chad for sure ez clap,negative
true,positive
5head,negative
omegalul,neutral
my dad did the same thing man i know how you feel i wasnt his biological kid but im his son,neutral
omegalul dr k,negative
advice crash a party,negative
usually fake stability only showcase for others on the outside every family has issues no single one is totally functional,positive
sadge,negative
no love sadge,negative
backhandindexpointingright  ez,negative
we believe feelsstrongman,positive
i think he feels like his appearance doesnt represent his personality well,neutral
who do i contact to see if i can be unbanned from the discord,negative
pepog,positive
stone of life by steven pressfield tells a person who they are,neutral
sadge,negative
sus,negative
clap for your honesty,neutral
im getting back into producing,positive
sus nut clarity,negative
waking up early to attend lectures,neutral
dom needs us,negative
oh nononon,positive
adidaswhatever yep,positive
i drink milk,negative
lol,neutral
3,neutral
sadge,negative
ranboo,positive
whos ls,positive
kekw,positive
pepelaugh,positive
yep,positive
lol,negative
jebaited,positive
monkahmm,neutral
lmao kekw,neutral
gigachad,negative
vermintide lets fucking go,negative
purpose,positive
a true american haschud haschud haschud haschud poggers,positive
ez clap,positive
3,neutral
fudge sadge,negative
aniki,positive
he just lost someone yesterday,neutral
aaahhhh im deaf,neutral
drhgpog drhgpog drhgpog drhgpog,positive
lulw,positive
notlikethis,negative
dr k has the doctor endgame bis race pog,positive
5head,positive
sadge,negative
same sadge,negative
pog,positive
proud of you man 3 3,neutral
the hit by a vehicle thing is a half lie there,neutral
pepelaugh ok,neutral
howls moving castle shirt wouldve been poggers 3,positive
you can do it chat feelsstrongman clap,positive
healthygamergg has been streaming for  2 hours 6 mins,positive
kekw nice,positive
he didnt know lol,positive
residentsleeper residentsleeper residentsleeper  please god no,positive
kekw,neutral
processingplease wait,neutral
sadge,negative
you can have love and yet identify issues with upbringing,neutral
at least 2 days,positive
bloody mary monkaw,neutral
,neutral
sleep is meditation,neutral
lan parties,neutral
im ls,positive
got it,negative
amouranth,negative
3,positive
3,neutral
3,positive
yikes,negative
brb getting a smokin hot wife,negative
lets gooooo aooooe,negative
pepelaugh,neutral
1,negative
3 3 feelsstrongman 3,negative
i have the same friends pandemic is just shiit,positive
or you buy some of stuff and realize you paid waaayyyy too much for it  dont buy of stuff lul,positive
ez,neutral
stocism bro,neutral
,negative
i need to do some push ups,neutral
kekw,positive
yeppp,positive
correct i am a chad,neutral
feelsstrongman,neutral
ez,positive
just 4head 4head,negative
noooooooo,negative
feelsstrongman he has a good heart it seems,negative
questions not to ask at a party,positive
i know you monkaw,negative
seemsgood seemsgood,positive
i feel that man pain sadge,negative
omegalul,neutral
wooooow,negative
kekw,negative
liberal,negative
feelsstrongman,neutral
feelsstrongman attack on titan,negative
all love dom 3,positive
it mus be nice to have friends sadge,negative
jebaited,positive
wyu7 wyuvern wyu7,negative
not sure youd been paying attention clearly theres more to it than just not getting help,negative
i want to be a hardstuck g4 league player,negative
dr k like wtf,neutral
pepelaugh he doesnt know,positive
monkahmm,neutral
im actually happy for my parents getting divorced,neutral
funny enough his inspiration thundercat is anime loving bass player,negative
sadge,negative
true,negative
monkahmm,neutral
feelsbadman,negative
link for the stream on suicide,positive
any chadders ez clap,negative
monkaw,positive
xd,neutral
brb,negative
t1,negative
omegalul,negative
i got exactly the same problem,neutral
gg no re ez clap,positive
just do it,neutral
the interview with the viewer is over dipsta,neutral
i always make excuses,positive
pogu,positive
pog name,positive
sadge,negative
dr k omegalul,positive
lol,positive
this guy speaks so goddamn well,neutral
kekw,negative
facts,negative
,negative
kekl,neutral
stop calling me out,positive
i am not getting any discord invite link after filling info on website,negative
oh ffs,neutral
moves so quickly,negative
his ae,neutral
feelsstrongman,negative
nice story dude,neutral
how much do you let go and not focus on who you want to be,neutral
sadge,negative
oh,neutral
lmao,positive
1 day,negative
why do i feel like this is useless advise,negative
its great,positive
3,negative
i had the same situation growing up its tough for sure,positive
kapp,neutral
feelsstrongman,negative
feelsstrongman,negative
,neutral
sadge relatable for me too,negative
kekw,negative
cherd pog,positive
jebaited,neutral
damn i feel this,neutral
lets get this bread,negative
pepehands,positive
sorry i hope you find purpose one day just believe that people care about you right now,negative
gg,positive
when you de only one that posts links,positive
o,negative
buy kitty litter,positive
4 dads pog,positive
3 3 3,positive
3,neutral
pog,positive
its him dr k   if its the mirror its him,positive
not mine sadge,negative
based,neutral
not even 3 days before kekw,negative
sadge,negative
ayaya,neutral
3 3 3 3 3 3 3 3 3,positive
wdym by that pepelaugh,positive
o,positive
21 or 22,positive
lets go,neutral
pepog,positive
shikamaru nice,positive
just did 10 pushups thanks doc,positive
dooooooo ettt,negative
love in 2k21 pepelaugh,neutral
pog,positive
double chad,positive
we love you dom,neutral
actually same when going to uni,positive
omegalul,positive
monkaw,neutral
but what do you want,negative
puglego puglego puglego puglego puglego puglego puglego,positive
o7 yes sir,positive
4head,positive
nooooooooo kekw kekw kekw,positive
cmon man,positive
absolutely not,positive
pepelaugh,negative
chaps2heart chaps2heart,positive
feelsstrongman,negative
monkaw twist,positive
i have glass bones and paper skin,negative
is there a true love tho,neutral
ez,neutral
kekw ego,negative
take action,positive
5 push ups would kill me,negative
daily mantra do something today that will make tomorrow better than yesterday 3,negative
do you want to run track,positive
3,positive
boomer,positive
thanks btw dr k,neutral
,positive
4head just do it,negative
ez,negative
lul,positive
fucking dont do it stooooooooooop,positive
i envy this man,negative
dr k giga chad ez clap,positive
sounds like your dad was struggling and used video games to cope and hard to blame for that,positive
hey dom heyguys,neutral
awwww,negative
sadge,negative
even  married  ppl have a hard time asking 4  help n letting prideegos,neutral
im going to solo a dungeon in wow,negative
5head,negative
same,neutral
sadge,negative
ez,positive
shavasana,neutral
milk pog,positive
this guy is a stand up dude,negative
5head,positive
lulw,negative
self jebaited,positive
you need some milk,neutral
4head,neutral
gg,positive
ayaya,negative
monkaw lets go,neutral
sadge,negative
girlfriend,neutral
ez,positive
kekw,negative
slam the fart,negative
sadge,negative
prove then wrong ez clap,negative
imperceptible but steady change,negative
clap,negative
sus,negative
d,negative
angelthump,positive
unhappy people staying together also hurts the kids,positive
jebaited,negative
you dont have to say this all on stream man,negative
dont overthink pepog,positive
hasan,neutral
yeah thats gonne be nice,negative
you look good bro,negative
monkaw,negative
thats me biblethump,negative
kekw,negative
dizzig,neutral
gg,positive
i feel man,neutral
ez clap,neutral
,positive
party members pog,positive
oh man i feel that,positive
i think that is from shakespeare,neutral
,neutral
3 3 3 3,negative
sadge clap,negative
he is tho,positive
smorc dom smash,neutral
ya this be dark,negative
ez,positive
sameeee,negative
cost more in the grand scheme,neutral
endowed th chad,negative
,negative
sadge,negative
lul,neutral
no one would message me anyway feelsbadman,neutral
3,positive
life is not about avoiding hurt is it,neutral
wutface wutface wutface wutface,positive
sadge,negative
can anyone tell me the name of channel discord server please,negative
dude this is me sadge,negative
again with the looking for a steady place with people who he was supposed to rely on and they failed him,negative
kekw,negative
3,neutral
hydrate chads,positive
feelsstrongman,negative
pepelaugh,negative
kekw,negative
sadge doubts,negative
feelsstrongman,positive
pog,positive
lulw,neutral
same here man,positive
think and act together to stop overthinking,positive
always on dnd b,neutral
lul,positive
notlikethis notlikethis notlikethis notlikethis,neutral
pog clap,positive
kekw,negative
play the half orc bro,positive
damn,neutral
feelsstrongman this is getting emotional,positive
whats wrong with that,neutral
hachubby,neutral
,negative
ez,negative
lets goooo,positive
3,neutral
noooooooo,negative
lol,positive
monkw,negative
asl,negative
for the bois,neutral
deep dark fantasies sadge,negative
my whole life sadge,negative
3 days x 52 lulw,positive
5head,positive
link,neutral
yessss,neutral
yes,negative
3,negative
saved clap,negative
haha what omegalul,neutral
lit,neutral
feelsstrongman,neutral
pog pog pog pog,positive
weird,neutral
pepelaugh,positive
nooooooooooo,neutral
thats beautiful,negative
no way,negative
gl gl,negative
kekw lets gooo,neutral
ooooo,negative
lets goooo aooooe,neutral
my lie detector got a flash,positive
kekw sadge,negative
the desk slam lul,negative
is the quote do something that makes you proud of who you are today,neutral
3,positive
true,positive
kekw,positive
that would never happen lul,neutral
twitch plebs pog,positive
guide,negative
chat why everyone got salty eyes,negative
ayaya,positive
picking up the slack of another worthless man feelsstrongman,positive
thats what i was wondering did doc mean bio,negative
monkaw,neutral
pepelaugh,positive
this is very deep,positive
indian gigachad,positive
pepog indeed,positive
awesome,positive
i think he would do wonderfully in therapy given his intelligence and awareness levels,neutral
its fresh tho,negative
kekw,neutral
3,negative
listening to ma and da screaming at each other every evening also isnt great,negative
pepelaugh,positive
lulw we,positive
feelsstrongman,negative
i wonder what tyler1 would talk about on here,negative
lulw,negative
wait wat,negative
poggers,positive
ouch,negative
feelsstrongman,neutral
,positive
family,neutral
it is what it is,negative
ez,positive
glassofmilk   mizkifkid,negative
i slept 2 hours ago,negative
you can be bits of both or neither what matters is youre happy,neutral
adidas chad,negative
3,negative
dude wut,positive
pepog study at the last minute,positive
lupok lupok lupok lupok lupok lupok,negative
thats deep,negative
its ok,positive
or who i wanna be in the future,positive
ez,positive
well get there pepelaugh,neutral
jebaited discord,neutral
feelsstrongman,positive
dr k just pulled what we call a pro gamer move 5head poggers,positive
feelsstrongman,neutral
jebaited,positive
lol,positive
sadge,negative
monkaw,positive
feelsstrongman dad 3,neutral
common sense,negative
sivhd,negative
sadge,negative
dang dom is so much more wise than me,negative
lessgoooooo,neutral
tmitwitchtv,positive
its so easy to imagine yourself at the end of the journey but its the littliest of steps that truly matter,neutral
omegalul,negative
kodak black tunnel vision,negative
3,positive
kappapride nice,neutral
kekw,positive
not milk ez clap,neutral
pog should have,positive
monkahmm,neutral
add gigachad sub emote zoilbless,negative
poggers  glassofmilk,positive
ily dr k,neutral
vohiyo,negative
sadge,negative
nmpfeels nmpfeels nmpfeels nmpfeels nmpfeels nmpfeels nmpfeels nmpfeels nmpfeels nmpfeels,positive
kekw,neutral
d,neutral
lul,neutral
believers in ez,neutral
enlightenment llol,positive
kekw,negative
lfggggg,positive
cherd,negative
4head,positive
sadge,negative
3,positive
,neutral
gigachad gg,positive
i feel like he might be a silent objector,negative
kek,positive
why not hell yea do it haha,neutral
ez,positive
sadge wtf,negative
jebaited,positive
lets go,neutral
kekw 3,negative
the whole thing is too common,neutral
oh god kekw,neutral
too many plans,negative
lul lul lul lul,positive
i find it hard to focus while meditating any tip,positive
biblethumb 3,neutral
sadge,negative
monkaw,positive
yep always seems easier than  it is,positive
omegalul,positive
yep,positive
les gooo,neutral
,negative
thanks boys for having me it was great to be with you,neutral
better not,positive
laughs in 2 burritos,neutral
sadge,negative
oh no,positive
less go manh pog,positive
oh no pepelaugh,positive
jebaited,positive
kekw  doodoo,neutral
copium copium copium,positive
based,negative
lul,positive
dr k hivemind,neutral
s,positive
wheres the link aooooe,positive
lol,neutral
dont wanna get kinda horny now lul monkas,negative
get the mirror out of your room though,neutral
lingeringthoughts169wordpresscom,negative
3,negative
feelsokayman,neutral
sadge,negative
when i was like 15 i stopped going to my dads place because i was tired of moving back and forth i think more children should have that option,negative
i believe,neutral
lets go pumped,neutral
sadge,negative
lulw,positive
being there for his friends,neutral
true lulw,neutral
dom,neutral
pog,positive
sadge oof,negative
lets go bros,positive
3 3 3 3,positive
lul,positive
gaychad,negative
kinda sus,negative
true,neutral
yep,positive
not emo enough to be an uchiha,positive
you got lucky lul,neutral
oh man 3,neutral
i always wanted to commit suicide since i was in middle school at the end of high school i had over 400 absences and had to take 4 exams in summer school i feel like i ruined my life because i lived my life like i was going to kill myself the next day now im 21 and play games all day i feel like ive caged myself destroyed my own life,neutral
,neutral
tmitwitchtv,negative
ahmedabad,neutral
oh no what a way to end,negative
feelsstrongman,neutral
dom got isekaid in our world,positive
bloody mary,positive
,negative
3,negative
pepelaugh,positive
still dom lulw,negative
ah sadge,negative
sadge,negative
raid omniboi,neutral
juster mieber,negative
oh hell no,neutral
if u have big bobs then make money with it,negative
omegalul,neutral
monkahmm,neutral
bro i relate to this man so muhc,neutral
waytoodank,neutral
no he def new,positive
lul,negative
pepelaugh,positive
same,negative
felt that too,neutral
clap,positive
sodasadcat 3,neutral
sadge,negative
xqcomega,neutral
,negative
oooo,negative
5 in yoga  5 intellect,negative
dr k looks so confused lmao,negative
im bout to play swotor actually pogchamp,positive
lul,positive
dr k mental guide release date when chat,neutral
apprecite you bro your confession will save lives,negative
4head,neutral
ye thats weird,neutral
alkbg,negative
notlikethis,neutral
monkaw,neutral
hero dad feelsstrongman,negative
feelsstrongman cult leader,negative
he is your true father man 3,neutral
lulw lets gooooo,positive
lol,neutral
pog,positive
monkaw cult leader,positive
strong,positive
im so invested doms got this,neutral
ez,neutral
monkahmm,neutral
holy shit feelsstrongman,negative
giga windu,positive
sadge,negative
monkaw,neutral
gg muted ez,positive
sadge,negative
3,positive
drk got trolled and actually hosted this onlyfans egirl,neutral
wutface notlikethis,negative
clap 3,neutral
pepelaugh,positive
pog youre right,positive
4head just,positive
4head,neutral
two paths,negative
motivation episode from wednesday pog,positive
chad touched  love that lul,neutral
lulw,positive
monkaw,neutral
lulw,neutral
,negative
kekw smth like that,positive
bitly3bqnmfr,negative
3 3 3 3 3,neutral
sadge,negative
mom popped off lul,neutral
ez,negative
lul,positive
we need link,positive
destiny,neutral
pog,positive
ez,positive
ez dr chad,positive
oh instant regret,negative
,negative
kekw,positive
kekw,positive
3,neutral
sadge,negative
true lulw,negative
ez  glassofmilk,positive
im 100 invested  chartincreasing,neutral
3,negative
the life of the mid chad,negative
chat u checked lulw,positive
hype,positive
bitly3r7czff,neutral
smash bros pog,positive
abandoned sadge,negative
do it for the kult 3 3 3 3,negative
5head,neutral
ayaya anime is always more important,positive
dansgame,negative
,negative
4 years  3 lulw,positive
damn,positive
haha,positive
pepelaugh,neutral
just did 10 pog,positive
lul based,neutral
3,positive
,negative
5head,neutral
ez,neutral
kaypikeheart kaypikeheart kaypikeheart kaypikeheart kaypikeheart,neutral
i havent had a family holiday in 9 yrs im only 22,neutral
thats it man so true,positive
do squats,neutral
4head ban divorce,neutral
omegalul,positive
same here man same here,neutral
aooooe,negative
surprise mechanic yep,positive
postem,negative
i just realized i can see a tiny dr k in there zekekek,positive
aooooe,negative
jealous good kekw,neutral
chad ez,negative
mommy goes around,neutral
noooooooooooooo,positive
lul lul lul,negative
kekw,neutral
yep,positive
pepog,positive
pepega me,neutral
ha ha ha lul,negative
kek,neutral
monkaw hol up,negative
whos idea was this,neutral
knowing where to start is the hardest,positive
kekw,positive
only if ya want,positive
nodders nodders,negative
absolut chad,positive
,negative
puglego puglego,positive
kekw,neutral
justin weebier kekw,negative
monkaw,positive
just notice it 4head,negative
ooh i fall apart,neutral
true,positive
grass,neutral
lol,positive
being yourself,negative
xddd,negative
phew was worried he was gonna call that normal too monkas,negative
i hope my kids love me this much when they get older annieshug annieshug,neutral
sadge,negative
hes smart af,neutral
3,positive
a lot of pain starts there,negative
thats not how u use that word monkahmm,neutral
