clean_message,sentiment
just because our parents gave birth to us it doesnt make them good or healthy parents unfortunately i dont feel like i have in parents a figure of support or a source of solace,neutral
,positive
do them on your kitchen counter if doing them on the flat floor is too hard,negative
i dont think it is just his genuine expressions,neutral
i want 10 kilos,neutral
finally he smiled freaked me out for a sec monkas,neutral
there isnt one pile that fixes every problem for everyone would be nice but i depend on so so many factors,positive
do it for us dom,negative
aooooe,negative
hes googling post nut clarity,negative
chad,negative
feelsstrongman,negative
lol,neutral
based,positive
loving the advice 3,positive
3,negative
a cherd,positive
dr k going hard sheeeesh,positive
brian fungineer,negative
love this dude,negative
gaming all day yes lets go pepog,positive
kekw,positive
hot tub raid lul,negative
sadge,negative
baby dont hurt me dont hurt me no more,negative
feelsstrongman,neutral
me,negative
i thought this guy was a great storyteller makes a lot of sense that he writes,negative
notlikethis here comes the panic,positive
feelsstrongman,neutral
hahahaha,negative
feelsstrongman,neutral
lul,negative
true,positive
what an ending omg,neutral
we do pepelaugh,positive
gg,positive
i feel this guys words personally but never knew how to voice it right,neutral
pog,positive
hype pog,positive
4head,neutral
monkaw wut,negative
pog,positive
wow,positive
poggers  poggers  poggers,positive
,negative
5head,negative
this guy gas an incredible amount of compassion i genuinely believe he will be okay  redheart,neutral
b omegalul omegalul ba,negative
a pass  thinkingface,negative
widepeeposad,positive
hypers lets go,positive
humans arent just good or bad they have qualities of both,negative
ayaya,neutral
damn,neutral
that was awesome,neutral
about this exact topic,positive
copium,positive
we know you poggers,positive
jebaited,positive
hypers  chartincreasing,positive
3 3 3,negative
gtm,positive
its alright not to know in your 20s,negative
nmpl,positive
jebaited,negative
,negative
sadge,negative
so true,negative
sadge,negative
education on suicide recently on his vods,positive
he said he is middle college,neutral
dont,neutral
monkaw homework,positive
n what,positive
sadge,negative
milk is healty,neutral
monkahmm,neutral
bitly3bqnmfr,negative
also cherry on top you develop a big ego thinking youre so smart you do good while studying less which also makes your top gear slower than it should,positive
sadge,negative
lulw,positive
frontal lobe 5head,negative
this guy make a youtube channel for each hobby u love to discuss more and grow a fan base from his opinions on fantasy n scifi my dude,neutral
censored,positive
thank you so much,neutral
pog do it for chat,positive
poop,neutral
and everyone else,negative
i felt that sadge,negative
oh thats bad as athlete and nutrition major,neutral
drhgheart drhgheart drhgheart,neutral
based sadge,negative
lmao,negative
memories,negative
would his life be better,negative
feelsstrongman,positive
sadge,negative
its 3am here,neutral
same man,positive
i do not wish to be horny anymore sadge,negative
sadge,negative
3,negative
same bro,positive
3 3 3 3 3 3 3 3 3 3,neutral
i see dom monkaw,negative
deep,negative
notlikethis notlikethis notlikethis,negative
tacos are bad,neutral
cult letsgo,neutral
proficiency in yoga at lvl 1 pogchamp,positive
ez giga chad nodders,negative
amen,negative
notlikethis,negative
thank you good luck,positive
ego,negative
4head,neutral
so itll depend on if he feels accepted from the outside,negative
yea,neutral
pepog do,positive
5 pushups done at 330 am,positive
pog,positive
yah,positive
i got it,negative
this sounds stupid butjust be yourself,positive
lulw,positive
p omegalul s t n omegalul t,neutral
my mans tryna find himself,negative
idk i had a commitment early in life to always cling onto hope and not consider true death as an option,negative
pog,positive
pog,positive
if youre not helpless then be helped,neutral
,neutral
holidays just painful yeah notlikethis,negative
pokel pokel pokel,negative
kekw,positive
,positive
no contact with parents siblings live to far apart,neutral
sadge,negative
sadge,negative
,neutral
lol,positive
omegalul true,negative
5head,negative
aooooe,positive
imls,negative
mood sadge,negative
ez clap,positive
i am a chad ez,positive
ez,neutral
,positive
pog,positive
games hypers,positive
what if you think its not enough,neutral
3,negative
aooooe lets goooooo,positive
i eat a ton of candy i eat healthy,positive
dont go to a place with 100 walls monkaw,negative
hard to explain briefly i suggest to do your own research if youre interested its about depersonification,positive
im a jigsaw family too,negative
kappapride,positive
sadge,negative
dr k gigachad,neutral
drhgheart drhgaoe1 drhgaoe2 drhgaoe3,neutral
pepelaugh,positive
sadge,negative
the chad is in here points to heart,positive
pogu,positive
gnoblin,negative
defo worst,neutral
man sadge,negative
ez,positive
lsv,positive
hi,negative
thank you for this i benefitted a lot from this,neutral
dr chad,positive
lul,neutral
3,negative
were normal pog,positive
lulw,negative
that does happen lol i feel the urge of listening to music,positive
,neutral
3,positive
oof,neutral
3,neutral
i just got here can someone recap,negative
3 thank you dom,neutral
sweet bass,positive
,negative
kekw,neutral
omg omegalul help,positive
lul,negative
3,negative
halfchad halforc,negative
utah is tough,positive
widepeeposad,negative
what if i have mental blocks towards my task,negative
feelsstrongman,positive
domexe has stopped working,neutral
pepelaugh pepelaugh,negative
,positive
wow,positive
monkahmm,neutral
hes doing crack,positive
coomer sadge,negative
i love how honest he is,neutral
could somebody tell me where the doc is on discord for the interviews,neutral
beautifully said dom,neutral
lolw,positive
3 3 3 3 3,positive
uptime,positive
cool feelsokayman,neutral
lul,negative
wut,negative
its ok 21 is still very very young you have a lot of time to turn it around the good part is you recognize it,positive
dominic,negative
3 clap,negative
jebaited fell for it,neutral
anime supremacy,positive
nooo,negative
baby baby baby ohhh,negative
100 push ups 100 sit ups 100 squats 10km run,negative
video games can be idealistic,neutral
ghibili merch is fire go all out,negative
5head,negative
nah you dont look like one you act like you,positive
take time,positive
geradab gerap gerap gerap,positive
supervinlin supervinlin,neutral
monkas have her watch the hg channel kapp,positive
whats that,neutral
3,positive
voteyea,negative
yep thats why i dropped out,positive
kekwait,neutral
4head,neutral
dud,neutral
i remember that time lol,neutral
boomer,negative
pog,positive
monkaw chat arse,negative
lets gooo,neutral
babystreak,positive
really you tell us to do stuff and then raid amouranth lol,negative
destiny,positive
aye right,neutral
trainwreckstv,neutral
3 3 3 3 3,positive
monkaw,neutral
does anyone know in their 20s,negative
modcheck audio modcheck,neutral
kekw,negative
pepelaugh,positive
p,negative
kekw,neutral
shameless plug gg,positive
kekw,positive
monkaw,neutral
jebaited oof,neutral
yeah for sure the candor this man has is astounding way to go man,negative
homework,negative
sadge,negative
lul,negative
kekw dr k rolled us gg,positive
kekw,negative
pog,positive
sadge,negative
5head,neutral
pog look at him go,positive
pepog,positive
hes making this up,positive
,neutral
whyd the stream end,negative
,negative
sadge damn,negative
sus,negative
ez chad,positive
dom  doom sadge,negative
muted,positive
dissociation is aweful sadge,negative
im paining a new item for small box,negative
monkahmm,neutral
doubters out feelsokayman,neutral
those are wise words 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,neutral
3,positive
just talk to drk 4head,neutral
5head,negative
im still checking lulw,neutral
healthygamergg has been streaming for  2 hours 19 mins,positive
true 3,positive
monkahmm,neutral
4head,positive
joe,neutral
monkaw,neutral
lulw,neutral
im not crying,positive
twitch chad,negative
3,negative
watch you wannabe kappa,neutral
feelsstrongman let it out,positive
nooooo wayyy omegalul,positive
sadge,negative
sadge,negative
tectone,neutral
which system,negative
omegalul,negative
hes in amouranths stream,negative
same here as well 25 pounds exactly wtf,neutral
ayyyyy 3,negative
peepoleave pepodance peepoleave,neutral
just 4 omegalul,neutral
kekw,positive
jebaited me,positive
quinl,positive
nike,negative
lulw,neutral
ls,neutral
yah u have a bright future,neutral
better be oat my dude,negative
monkas,neutral
if you say theres always tomorrow then youll keep saying it until there is no more tomorrows  fearless motivation,neutral
masta windu,positive
lirik pog,positive
amoga,neutral
lol,neutral
hes breaking dr k,negative
or shikamaru good luck men,neutral
i feel you,negative
same,negative
ramana maharshi,neutral
i feel that big time,positive
omegalul,positive
sit ups,negative
pog  we do,positive
actual boomer,negative
lulw,positive
lul,negative
chad with a chad dad too,positive
kappa,negative
xdddd,neutral
ez make an example mr chad,neutral
sadge,negative
dr k skipping through the 500 ways to meditate in his mind 5head,negative
wow that is powerful,positive
pepog,positive
monkahmm,neutral
i remember that,positive
thats why i dont celebrate my birthday as only child it was the worst,neutral
twitch chat anitadyarr,neutral
feelsstrongman,neutral
dons blog,negative
ez,positive
seemsgood,neutral
my counselor suggested i start writing as well,positive
hassan,neutral
milk gang,neutral
for the lulz,negative
ok got the link im out,positive
who am i,negative
upper class shit,neutral
yeah,neutral
what a chad ez clap,neutral
brain,positive
feelsstrongman,negative
tmitwitchtv,positive
hi,negative
omegalul,positive
4,positive
lets go,neutral
29 here,neutral
lets go bro 3,negative
kekw black justin bieber,positive
being suicidal is normal feelsgoodman,positive
luvhearts,neutral
giga chad 3,neutral
i am sleeping right now,neutral
for us 3,negative
what is an ego death,negative
ayaya,positive
right,negative
its the clarity my dude,neutral
chad protien drink,positive
yes,neutral
link pog,positive
chad ez,neutral
ez clap doesnt need mic,positive
aooooe,positive
monkahmm,neutral
candy pogchamp,positive
gotem,positive
ewww humans,neutral
monkaw,positive
lesgooooo poggers,positive
sadge,negative
ok kappa,positive
jebaited,negative
3,neutral
post nut enlightenment 5head,negative
kekw,negative
feelsstrongman clap 3,negative
pepelaugh oh no no,positive
pog,positive
lul lul lul,negative
who is this dude,positive
kekw,negative
34,positive
yus watch more anime,negative
sadge,negative
good dad feelsstrongman,positive
sadge,negative
smorc clap,positive
yep,positive
powerlessness,negative
youre a 61 gigachad athlete cut yourself some slack brother,neutral
kekw,negative
lfggggggg,positive
what if a streamer wants to come on but is to nervous,positive
cow go moo pepog,positive
malk widepeepohappy,negative
samskara,positive
a man will hyper focus on getting off that there is a wave of clarity that comes after it happens,positive
lirik pog,positive
kenjataimu,positive
i only had my alcoholic mom,negative
sadge,negative
that hurts sadge,negative
candice,positive
sadge,negative
dr kek lul,negative
,neutral
8 years,positive
can we refund our brain and get a new one,negative
believers ez clap,neutral
same w work,negative
3,neutral
biblethump biblethump,negative
lulw,negative
pepog get touched by chads,positive
the don,negative
lirikcozysip lyoon1595,neutral
this man is a champ,negative
monkas,neutral
anyone got a link,positive
hahaha,positive
feelsstrongman,neutral
who am i modcheck,negative
apes strong together ape gang 3,positive
true lulw,positive
same,positive
chadtouched lulw,neutral
3,positive
,negative
i opened the loot box a couple times  didnt ever win  got  scars from it once though was a bad decision,neutral
crying rnn,negative
word,positive
monkaw,positive
kekw,positive
omegalul,negative
guide,positive
amogus,positive
healthygamergg has been streaming for  1 hour 56 mins,positive
boomer,positive
inner chad pog,positive
mustve been watching some weird stuff lul,neutral
kekw,negative
alc lowkey better than sugar,positive
lets go to sleep,positive
3 3 3 3,negative
10000,positive
do it,negative
kekw,positive
how to i get that normal experience,neutral
owl2019gg,positive
,negative
panic,neutral
sleep,negative
spoopykit,neutral
wow,negative
not amoraunyh,positive
feelsstrongman,positive
kekw,negative
think a second,negative
gg rolled ez clap,positive
tis really tempting to keep playing dark souls 2 lads,neutral
ive invested 500 shares dude,positive
,positive
ez,positive
kekw,negative
sadge,negative
pls no,negative
kkona,negative
lulw,negative
lol,neutral
pepelaugh,neutral
kekwait,positive
samesies,negative
,negative
i feel like there is always something better to do,negative
me too,neutral
tru,positive
feelsstrongman,positive
sadge or sell your body to the military,negative
wat,positive
ayaya,negative
kekw,positive
gigachad ez 1,negative
no its not its so good tahts why it hurts so much,negative
pog,positive
omegalul,positive
everyone chug milk,neutral
hypers,positive
omegalul,negative
,positive
,neutral
pepog,positive
kekw,neutral
yep clap,positive
lulw,negative
i like the guy 3,negative
oh here we are safe hypers,positive
3,neutral
sadge,negative
link,neutral
kekw,negative
kekw,negative
why does it feel embarrassing when people see me living thru the goals,positive
cps,neutral
,positive
amouranth,neutral
3 3 3,negative
1 for that one,neutral
pog,positive
who,neutral
physical condition degrades if not maintained,neutral
good lord,positive
pogchamp,positive
those are wise words 3,negative
lets go poggers,positive
coomers notlikethis,positive
aot pog,positive
based,negative
pepog gg,positive
when is a behavior following the natural mind and when is it addiction  when does i am hungry so i eat i play a game because i want to play a game become more why couldnt the neglected responsibilities be of the separate self and not the games,negative
i wish mine would lkl,negative
pepeg i am not who i want to be i am me,neutral
,neutral
pog ez clap,positive
lulw,negative
itachi,negative
ez,positive
feelsstrongman,neutral
o 3,positive
feelsstrongman,negative
guide,negative
pepelaugh,neutral
lulw,neutral
feelsbadman,negative
ooouu,negative
5head,positive
if you are enjoying the stream and want to support us consider subbing or donating link below to the channel and spreading the word,neutral
got me crying in the club,neutral
lfgggg,positive
bro why is he worried about people seeing it instead of trying to get the help hes lookng for like fk those people,negative
how old is he,neutral
uber danger,neutral
loool,neutral
be multitudes bruh,neutral
seemsgood,negative
sadge,negative
lol,neutral
pog,positive
,neutral
femly feelsstrongman,negative
ez clap,positive
,neutral
feelsstrongman feelsstrongman feelsstrongman feelsstrongman feelsstrongman,neutral
puglego buddy lets do this,neutral
sadge,negative
pepog,positive
oh man biblethump,negative
feelsstrongman,neutral
oh the dr dont know,positive
3,positive
consciousness,positive
,positive
taco,positive
3,positive
,neutral
i was like wtf is playing base and i see his bass in the background,positive
pog,positive
expectation of it happening should be common,negative
the nut sadge,negative
monkaw,negative
feelsstrongman,positive
ayaya chad,neutral
i met someone in wow that is watching your streams too the aoe healing is reaching more people yey,positive
pogchamp wholesome off the radar,positive
in b4 tyler1 smashes through the screen,negative
demons monkaw,neutral
phahahahahahgaga,positive
nodders lets go nodders lets go nodders lets go nodders lets go,neutral
on grief loss  suicide  dr k explains  jul 4 2020 on yt,positive
hypers dom,positive
kkonaw hell yeah bruther,negative
deep malesign dark malesign places,negative
feelsstrongman for family,negative
pepelaugh,negative
sadge,negative
wheres that blog link tho,neutral
society,negative
monkas,neutral
what a powerful person omg,negative
3,neutral
giga chads,neutral
3,negative
3 3 3,negative
justdoit,neutral
pepog,positive
i do it everyday,neutral
im over it,neutral
,neutral
white dad feelsstrongman,positive
omegalul,positive
powerful stuff,positive
ez,positive
poggers,positive
5head,positive
pepelaugh giga chad lul,negative
this emote is cool pogcat,positive
kekw kekw,positive
pepog thats not me,positive
monkaw,positive
compassion and understanding beats anger and hatred everytime its the only thing that does,neutral
5k watching you dom,negative
3 3 3 3,positive
widepeepohappy,neutral
calling my friends,neutral
ls aka league streamer,neutral
you are his son my chad g,positive
nodders,neutral
domwindu pog,positive
ez true,negative
yes,positive
niceeeee,positive
pepog what do i see who ami what do i not like,positive
youre our naruto now dude,neutral
seananners,neutral
like is the entire chat vegan or something,negative
im still at work kappa,negative
monkahmm,neutral
i wish i could gain weight lmao,negative
stonks,positive
omegalul,positive
pog for me,positive
dr k bein all inspring loving it,positive
my fellow indian brother stay strong,positive
who amm i,positive
kekw dr k knows,negative
o,negative
i just want to be monke again sadge,negative
what if he called monkaw,negative
deskchan,positive
omegalul,positive
white dad poggers,positive
3,neutral
,neutral
kekw,negative
youre the chosen one 3,negative
2020glitchy,positive
lets fucking goooooooo,positive
modcheck link to doms blog,positive
pog,positive
true,negative
feelsstrongman,positive
lul,positive
doom,negative
monkahmm,neutral
this is not the definition of a chad lulw,neutral
look for who is looking,positive
oh brother u just havent seen the other side,positive
pogu howls moving castle,positive
always me in the mirror or the shadow,neutral
pepelaugh,positive
xqcs xqcsword,neutral
what can be done about extremely low selfworth and cognitive changes due to depression,negative
sadge,negative
lulw,neutral
sadge,negative
pepelaugh hes looking at chat,negative
ez true,negative
dr k chad today pog,positive
sumscar,negative
jebaited,positive
ez,neutral
omegalul,negative
s u s s y,positive
3,neutral
omegalul,negative
you can love someone and be angrydisappointed with them at the same time it doesnt make you ungrateful,negative
hava,negative
3 3 3,positive
link,positive
i will make a chad out of you,negative
im at work making me tear up  smilingfacewithtear  smilingfacewithtear  smilingfacewithtear,positive
kekw,positive
did i misshear that lulw,positive
feelsstrongman 3 3 3 3 3 3 3 3,negative
just rng all kids parents in the world 4head,positive
flipped on its head,positive
august,neutral
16 years,positive
nodders dr chad yes,neutral
jebaited,positive
lmao,positive
giga chad lulw,neutral
giga chad,negative
lul,positive
ez inner chad,positive
,negative
lol,negative
3 3 3 3 3 3 3 3 3 3,neutral
water  all,neutral
aooooe,negative
3,positive
plot twist,neutral
brb im angry,negative
kekw,neutral
lul,positive
waytoodank,neutral
i have hates for my parents,negative
sadge,negative
notice only 4 people say they study 1 month before kekw,negative
ez,neutral
4head,neutral
lets goooo xd,positive
ez,neutral
oh my god,positive
pepehands christmas drive always hurt,positive
ez,neutral
damn,positive
kekw,neutral
what a change of pace lmao,positive
doc learned a new term xd,negative
kappapride,neutral
,positive
3 3 3,neutral
dom seems like a good man y,positive
we know the real you trismilers,positive
pog,positive
nooooooo,negative
lulw,neutral
sadge,negative
3 3 3 3 3 3 3,negative
wavinghand  sadge,negative
monkahmm,neutral
try not to compare everyone has their own pace of success,negative
gamer chad ez,neutral
pog,positive
komodohype,positive
pogggg,positive
monkahmm,neutral
pog,positive
annie is the real bae,neutral
biblethump biblethump biblethump,negative
jebaited lets goooooooo,positive
3,neutral
monkahmm skepta,neutral
monkaw,neutral
hes an athlete chat lulw,positive
yeah kindai want to learn about humans in general and about myself and yeah i had depression and still kinda have but its not suicidal,negative
resume time 4head,positive
lulw,negative
how do one comprehend a person that is both a hero and a villain that hit people,positive
jebaited,positive
communcation,neutral
virtualhug virtualhug virtualhug virtualhug virtualhug,negative
monkahmm,neutral
lets heckin go,neutral
dr chad ayaya,negative
ez  glassofmilk  mc,positive
can anyone tell me where can i see vods,neutral
3,positive
worriedface,positive
divorce is terrible who says it doesnt friggin hurt,positive
gg,positive
hahahah,neutral
pog,positive
pog,positive
ez  fire,neutral
to the moon,positive
get your dad to watch this vid,negative
your experiences build who you are,positive
ez disclaimer,negative
do it ayaya,neutral
melina,neutral
not that simple lul,negative
love you dr k 3,positive
kekw,negative
yep,positive
bitly3bqnmfr,negative
l i n k  please,neutral
sadge,negative
aahahaha,negative
clap jebaited,neutral
gonna meditate,negative
3 3 3,negative
sadge,negative
why lol,negative
monkaw,neutral
ez,positive
saved pog,positive
3 3,negative
ive gotten hit by a car think my adrenaline came through but afterward i was unconscious  since it happened so fast,negative
gigachad dom ez,positive
gg,positive
i gained weight too biblethump,negative
boomer kekw,negative
didnt she get banned,neutral
thumbsup  pog  thumbsup,positive
trainwreck,neutral
pog,positive
the guy is really brave i hope is going to be fine,neutral
every time bro,neutral
lul,neutral
weak shoulder,neutral
oh,neutral
liberal  kekw,positive
ima get a sandwich aaaaaaaaaaaaa,positive
pog,positive
shoutouts brian,neutral
10 push ups now,negative
4head,negative
kekw,neutral
how she gonna inherit the cult if she addicted to youtube monkahmm,neutral
true say,positive
ive been there man,neutral
3 what a guy,negative
im not crying youre crying biblethump,negative
zekelove zekech zekead,negative
so you keep  false starting when you dont do anything,negative
kekw amazing,negative
l i nk,positive
jebaited clap,positive
omegalul,positive
notlikethis notlikethis,neutral
haswoke haswoke haswoke haswoke meditation is magic,neutral
angryface,negative
3,neutral
clap,neutral
i remember that dr k said this in some interview,neutral
boomer,positive
invest in dom ez,neutral
guide,positive
too real sadge,negative
ayaya,positive
lul,positive
dr k is always post nut omegalul,positive
he doesnt know pepelaugh,negative
hed love therapy highly recommend 3,negative
jokes on you i never get messaged ez,negative
utah sadge,negative
same,neutral
bitly3r7czff,negative
you are not your body youre a soul with a body,negative
poggers fridaaaaay,positive
drhgheart drhgheart drhgdrk,negative
pog,positive
duckerz,positive
pog  glassofmilk,positive
sadge,negative
pepog do it,positive
,negative
,neutral
lol,negative
yep,positive
bailors jebaited,neutral
3,neutral
omegalul,neutral
all of the above pog,positive
ez clap,negative
lets goo,negative
sadge,negative
dr lag,neutral
ez clap,positive
sadge,negative
kekw,negative
the chad narrative is a joke hes anything but,positive
monkaw wanna play a lil game,positive
oh,negative
4head,neutral
its always both at the same time,neutral
twitchunity twitchunity twitchunity twitchunity twitchunity,neutral
its good,neutral
milk is good chat,neutral
lul,negative
joe,positive
mods ban that guy,positive
you got this brother,neutral
just stop 4head,neutral
the blog,neutral
lmaooo lul,positive
years,positive
sus,neutral
yes 3,negative
dreads ez,negative
yep,positive
ow no we live in the society,neutral
watching this stream makes me proud,neutral
no,neutral
get ublock origin its a free extension for chrome,positive
3,positive
lsv,positive
im in 3,positive
feelsstrongman,negative
,negative
5head,positive
muted,neutral
lul,neutral
3,negative
whooooooooooooo are youuuuu  who who who who slayer122banger,positive
i can relate to that,positive
pepog,positive
4head just do it  checkmark,positive
lulw,positive
by the power of graceskull hypers,positive
ez,negative
imls,negative
awhh,neutral
3,neutral
double jeopardy,positive
omegalul,negative
kekw,positive
hachub,negative
not full monke thats sad sadge,negative
that sounds awesome,positive
joe,neutral
train lul,negative
5head,positive
hahaha amazing,neutral
0,neutral
student loans are a huge weight,neutral
nothing,positive
lulw,positive
ohhhh shiii,neutral
,neutral
but life,negative
botezcashapp botezcashapp riu100,neutral
ez true,positive
oh shit,positive
jebaited,negative
,positive
yep,positive
not just divorce but also unhealthy relations sometimes divorce is probably better,positive
give me the rinnegan,neutral
5head,neutral
saved,negative
monkaw,neutral
,negative
start a cult like dr k ez clap,negative
he like me fr fr,neutral
pepog,positive
mayahipeepo,positive
sheeeeeeeesh,positive
too gigachads talking to each other nodders,neutral
go to the club,positive
wha,positive
he became a orc monkaw,negative
thats a pog,positive
sussy,positive
link,positive
ez chad,negative
pepelaugh,neutral
,neutral
feelsstrongman,positive
kappa,neutral
5head,positive
ez  glassofmilk,neutral
i am you,neutral
ez,positive
i think down inside my brother and i really got fucked up by it,positive
which city you from im from bangalore,negative
sadge,negative
sadge,negative
raid dakotaz please,negative
lul,positive
4head just buy a house,negative
aaooooee,positive
gg times up,positive
feelsstrongman,negative
q if you were to do the trataka for 20mins for how long would you do the open eyes part,negative
i dont think i get it lol,negative
take initiative,positive
that is a man,negative
monkaw,positive
omegalul,negative
yup,neutral
it feels like you strive to be accepted too much instead of focusing on what you actually want and accepting oneself,positive
feelsstrongman i hate christmas,negative
not milk pepog,positive
3,negative
self jebaited,neutral
monkaw,negative
sussy  facewithtearsofjoy,neutral
3 3,negative
pepelaugh,neutral
5head,neutral
dont fall for it lulw,positive
